,señal_suavizada,frecuencia,amplitude_rms,freq_media,freq_mediana
0,"[153.25111444 155.95969573 158.68500811 161.42705157 164.18582613
 166.96133177 169.7535685  172.56253632 175.38823522 178.23066522
 181.0898263  183.96571847 186.85834173 189.76769608 192.69378151
 195.63659804 198.59614565 201.57242435 204.56543414 207.57517502
 210.60164698 213.64485004 216.70478418 219.78144941 222.87484573
 225.98497314 229.11183163 232.25542122 235.41574189 238.99110152
 241.7865765  244.99709043 252.47532901 250.93467737 254.92345372
 258.32121645 258.02306838 256.22958731 260.10650619 266.79959431
 271.03570928 277.1586681  285.18447322 291.46107321 294.56935104
 299.39066882 305.20900359 305.08323593 313.12783807 320.33697209
 328.72582198 335.26803257 339.77435615 345.41146144 350.09184394
 355.64569629 358.18218536 361.00520772 360.35696421 363.92240872
 368.46388714 371.12309886 375.09778714 379.28823634 382.79037946
 387.61451296 394.1713625  401.99160316 409.93193411 417.33058265
 423.22272686 427.57424264 429.69089375 431.48352693 431.45626936
 435.28056592 434.11115332 434.85164938 434.45375907 430.27973063
 426.57475468 420.48907151 411.51457534 410.93078297 409.88211958
 412.58103983 413.16745117 414.79234967 415.65923067 414.32627334
 413.79947356 403.73846566 397.15626299 393.30372034 389.74315405
 388.02229669 388.9740104  387.45082175 386.55749072 390.33918611]",75.0,324.95434385196853,17977.871695902602,16066.401365652117
1,"[112.98336129 119.58362085 126.10927569 132.5603258  138.93677118
 145.23861184 151.46584777 157.61847897 163.69650544 169.69992719
 175.6287442  181.48295649 187.26256406 192.96756689 198.597965
 204.15375838 209.63494703 215.04153096 220.37351015 225.63088462
 230.81365437 235.92181938 240.95537967 245.91433523 250.79868606
 255.60843216 260.34357354 265.00411019 269.59004211 274.66003956
 278.53809177 282.90020951 291.21088084 290.70415896 293.47050665
 296.68324222 300.71393638 305.14876611 309.38917509 316.371219
 320.04682964 327.74601452 330.14872076 335.23508272 341.78063476
 348.75956444 355.3917114  358.82140977 361.98495255 366.5546989
 371.35675695 377.40194743 374.53818112 379.78162784 379.43833087
 384.12214535 386.26133842 387.98141051 389.30474093 393.1160005
 397.2134718  398.44839957 402.2004004  403.89800866 407.79509822
 409.37617986 414.93366365 418.49271778 425.02761573 435.87763031
 442.53562447 446.81368393 447.17604488 444.17176931 446.43366013
 446.48623987 450.91014975 447.93657286 446.10501268 446.09508269
 443.34044121 434.20427572 427.90250439 421.5686563  412.58597431
 410.4965319  410.5220888  409.221418   413.72733497 413.84962177
 410.80817629 406.88866853 405.45778088 405.68307352 402.20020841
 398.78686413 398.49271783 402.72753543 401.79144112 403.2027369 ]",76.0,344.4497787636112,18978.7995494554,18264.509046808864
2,"[ 79.86698966  89.50482849  98.95452692 108.21608496 117.28950261
 126.17477986 134.87191673 143.38091319 151.70176927 159.83448495
 167.77906024 175.53549513 183.10378964 190.48394374 197.67595746
 204.67983078 211.49556371 218.12315625 224.56260839 230.81392014
 236.8770915  242.75212246 248.43901303 253.9377632  259.24837299
 264.37084238 269.30517138 274.05135998 278.60940819 283.51232586
 287.16108343 291.15471046 297.39645877 300.65907506 301.76613248
 307.00795491 310.89373704 314.17126321 315.76344751 318.1819088
 321.82726443 323.365257   327.26830332 330.41697917 329.74620718
 334.68117289 337.68462389 339.55407953 341.36917895 342.92964728
 345.7619442  341.54816005 342.55879471 344.06253641 346.21287446
 344.41173213 342.95609832 344.11933761 346.54210929 344.28292143
 343.86349466 344.58990201 346.24328794 350.21236285 349.81961181
 351.52198468 352.93545723 357.44940829 368.99417126 381.01905434
 389.45420337 389.44826205 391.72119779 392.91694127 391.86097644
 397.59353375 403.70820559 403.93750674 406.22929368 405.29558138
 406.85063607 402.15250369 397.92223665 388.41840089 387.64784304
 388.53047629 390.31376834 387.56018844 391.56458014 392.39588262
 389.90729822 389.46183057 389.29294257 387.83989821 384.75210379
 382.08590142 382.63230313 383.82474431 383.00694255 381.90422304]",80.0,321.4791247586814,17630.670291494425,17045.824963372972
3,"[ 99.10749124 104.78470525 110.40249034 115.96084651 121.45977376
 126.89927209 132.27934149 137.59998198 142.86119354 148.06297618
 153.20532991 158.28825471 163.31175059 168.27581755 173.18045558
 178.0256647  182.8114449  187.53779617 192.20471853 196.81221196
 201.36027647 205.84891206 210.27811873 214.64789648 218.95824531
 223.20916522 227.4006562  231.53271827 235.60535141 240.11602757
 243.57233094 247.46667732 252.8963203  256.12052809 255.98439761
 260.004535   264.32371505 266.92263462 271.73483701 275.98953607
 281.54288066 286.67422172 290.45223333 293.15467325 300.74328713
 303.74167632 309.60059473 311.25366125 318.21736836 326.10061993
 330.82522886 337.16953429 341.61714686 342.59113901 345.10092506
 347.67519493 350.02935227 350.50099997 355.70859644 358.28843205
 359.02009917 361.28003293 367.13294479 370.43173113 378.33428739
 384.51964103 388.57581679 396.8033511  403.02603762 413.19838677
 418.70389689 423.74057191 425.58980777 427.33266058 428.83002914
 429.09387303 428.47165379 428.77132861 427.26151776 422.29994677
 419.7425343  411.87451291 403.84647065 398.55784599 392.47504717
 388.94146362 389.3002595  389.66484218 389.83949814 386.86287574
 386.84540571 381.9498615  378.00601224 371.01242641 372.57278966
 369.99378791 367.91974306 368.20118573 369.18367646 368.13977033]",75.0,316.12047473372945,17521.64633670472,16260.09590982713
4,"[ 77.1733434   85.54885275  93.76534491 101.82281988 109.72127765
 117.46071823 125.04114162 132.46254781 139.72493681 146.82830862
 153.77266323 160.55800065 167.18432087 173.65162391 179.95990975
 186.10917839 192.09942984 197.9306641  203.60288117 209.11608104
 214.47026372 219.6654292  224.70157749 229.57870859 234.2968225
 238.85591921 243.25599872 247.49706105 251.57910618 255.98133171
 259.26614486 262.87113841 269.90623957 270.68271262 272.03430992
 270.35166142 273.68593032 274.2356781  277.4600254  279.32875975
 281.26529301 284.72610179 288.01008834 292.04663391 296.98735548
 302.79929666 306.80309328 312.16568999 318.40646809 323.45838018
 328.52130643 333.56327351 337.25237489 339.20612471 336.67644403
 340.33215746 343.77998641 343.00394263 345.43743613 346.8087893
 350.38644509 351.77618234 353.38075246 356.29206839 362.05321467
 365.12793994 368.02392582 374.07699365 383.94373728 393.09303549
 400.16098746 403.68476327 405.8984679  407.01776904 410.44275034
 408.13543077 406.19195509 403.94766822 405.51542852 406.14146277
 405.55104081 399.87489399 393.99278576 388.48016743 382.51094693
 380.06936976 383.23655283 383.06712842 386.23503531 385.55792583
 384.36656394 379.83745158 375.56624689 372.45387887 367.3957782
 364.32006709 358.82680202 357.27627813 358.18059294 356.84931473]",74.0,310.97516215163716,17179.051728047336,16137.762975198835
5,"[ 79.52187031  86.57040967  93.53139449 100.40482476 107.19070049
 113.88902166 120.49978828 127.02300036 133.45865789 139.80676087
 146.0673093  152.24030318 158.32574252 164.3236273  170.23395754
 176.05673323 181.79195437 187.43962096 192.99973301 198.4722905
 203.85729345 209.15474185 214.3646357  219.486975   224.52175976
 229.46898996 234.32866562 239.10078673 243.78535329 248.95083562
 252.89182276 257.31372568 265.05011377 265.73659294 270.35492569
 275.96533548 280.43296043 284.92531224 290.69998223 293.45143013
 296.44753641 299.19194849 301.36767799 309.07732292 315.06237821
 320.33384253 326.74425522 331.29175683 336.85681501 340.7256806
 344.06307754 350.03822176 351.47629076 352.80076748 349.55193128
 349.32799818 348.78493306 350.54000917 354.70742474 355.12435532
 361.29414194 364.59536606 366.4269583  370.9889541  376.05000472
 378.56946681 385.12614686 389.06044037 397.41805082 409.36267521
 420.40431408 423.65562903 426.42053976 425.06084122 425.86152665
 425.95741321 426.9210427  428.9497351  432.88397843 429.78292
 428.61049953 422.47396913 413.81022824 406.46141386 401.9528593
 400.94459832 402.89185351 402.9739126  405.51307652 408.43908185
 408.67116503 405.97694069 405.44113344 404.40228765 403.36569586
 406.35106697 404.05224843 399.0349639  397.36434247 394.51086107]",78.0,324.0407453101902,18045.12507572639,16949.356113083195
6,"[ 56.35430761  65.48457079  74.44305684  83.22976574  91.84469749
 100.2878521  108.55922957 116.65882989 124.58665307 132.34269911
 139.92696801 147.33945976 154.58017436 161.64911183 168.54627215
 175.27165532 181.82526136 188.20709025 194.41714199 200.45541659
 206.32191405 212.01663437 217.53957754 222.89074357 228.07013246
 233.0777442  237.91357879 242.57763625 247.06991656 251.91840454
 255.53914575 259.51609463 267.04854606 268.67686095 273.45113239
 274.2536603  278.08083063 282.48189088 287.58909307 288.98322978
 291.25460098 292.71963585 292.9117047  294.93655951 293.1450633
 296.44129837 297.37403179 299.2129733  303.93033626 306.31007674
 313.54323157 317.88968113 324.16744933 329.18814713 329.55390783
 331.24751991 331.69190147 333.19051981 336.9375968  337.53553101
 338.2883416  337.0488232  339.75841087 343.64211017 345.99170991
 348.41682174 352.94492558 356.08601596 365.4915515  374.20530574
 379.38656008 384.88194663 383.92343556 383.0061255  385.27360098
 389.17854852 388.55562366 385.89276608 385.41835481 384.92010198
 384.09885726 379.93406383 373.44817791 369.43469867 369.05656319
 368.92601908 370.36484838 371.52772173 372.07872232 370.13707966
 367.04037449 359.97450591 352.34929213 346.81584165 342.33096544
 341.99815089 337.58242284 334.90896865 332.63070995 334.24597551]",75.0,298.78813064284685,16470.553348074227,15343.177669378183
7,"[ 53.75145274  63.79004467  73.62639095  83.26049159  92.69234657
 101.92195591 110.94931959 119.77443763 128.39731003 136.81793677
 145.03631786 153.05245331 160.86634311 168.47798726 175.88738576
 183.09453862 190.09944582 196.90210738 203.50252329 209.90069356
 216.09661817 222.09029713 227.88173045 233.47091812 238.85786014
 244.04255652 249.02500724 253.80521232 258.38317175 263.29162935
 266.93235366 270.90357614 278.22635691 279.85472517 284.38480115
 283.15694821 285.58945172 290.16355135 292.89165592 295.29196894
 300.59392033 305.95921686 311.24078907 314.77961483 320.08449626
 321.38035926 321.48519124 322.73963559 326.63196433 326.09419766
 328.2179118  330.5039468  332.59304767 331.60779745 333.9309684
 336.75401745 334.5362992  334.34671963 336.09540261 335.07414076
 334.96377189 334.92523092 337.12932352 335.66490746 334.80321894
 335.5516419  339.8833313  346.4016868  352.45911602 362.74648411
 369.53406501 373.948814   378.13499991 377.14411974 379.20953582
 379.49576625 382.53157997 383.46557696 381.89104552 381.94427537
 382.69608946 379.7749996  371.57106861 370.86512591 371.27692011
 366.89865834 368.05324373 368.9225184  371.93655803 371.41859522
 371.32771173 369.29279419 364.31875417 358.08528729 359.34995881
 358.26606582 359.46150584 360.60974759 365.88197174 362.30127168]",77.0,303.7762681281836,16719.957888462046,16194.755637517846
8,"[ 20.42497664  34.49508242  48.23296743  61.63863165  74.7120751
  87.45329776  99.86229964 111.93908074 123.68364106 135.0959806
 146.17609936 156.92399733 167.33967453 177.42313095 187.17436658
 196.59338144 205.68017551 214.43474881 222.85710132 230.94723305
 238.705144   246.13083417 253.22430356 259.98555217 266.41458
 272.51138705 278.27597332 283.7083388  288.80848351 294.14903865
 298.01211058 302.11559294 307.15006115 308.18203722 311.66305717
 314.61480683 313.6052825  318.34843519 317.78608513 319.74861346
 321.71488418 323.45116554 327.71796639 327.94270169 330.30718947
 330.1485212  333.69471909 336.48961057 339.27323673 341.82964104
 345.19295417 348.39120884 347.71674985 350.33564328 352.34564293
 350.89132608 352.75121497 353.29063123 354.20922171 351.35298547
 349.80019364 351.22919437 349.0739064  352.18983341 352.21369289
 355.2226238  357.63980851 361.66729494 372.12742167 382.36512937
 387.44210248 390.03414697 392.18671027 394.75325316 392.64655576
 391.93020533 390.90833107 390.71981195 389.43876896 389.15982451
 391.69582256 385.11742328 381.46468526 377.10172464 377.46162572
 377.46126075 373.03010073 372.32463387 371.34186025 369.74377951
 363.4608107  357.43820663 351.50676499 341.09374893 339.52575903
 333.84759964 334.05101985 330.56274914 330.04152238 328.48152419]",73.0,314.1663960503409,17090.58167931833,17004.650059789237
9,"[ 20.38047321  35.70744996  50.67445922  65.281501    79.5285753
  93.4156821  106.94282142 120.10999326 132.91719761 145.36443447
 157.45170384 169.17900573 180.54634013 191.55370705 202.20110648
 212.48853842 222.41600287 231.98349984 241.19102933 250.03859132
 258.52618583 266.65381285 274.42147239 281.82916444 288.87688901
 295.56464608 301.89243568 307.86025778 313.4681124  319.34667521
 323.60391918 328.13187133 336.83678792 340.60210192 342.91479247
 342.70777142 345.66290191 348.66498202 350.29853208 350.86031569
 352.44378699 352.40761612 354.12966227 354.93891627 355.12837449
 357.75293474 357.27975909 358.98541484 363.3101764  365.49211171
 364.811058   364.3171299  363.32285729 359.88158977 357.62200211
 355.19913025 356.68584645 353.62558735 351.22329775 351.16632566
 349.1510742  350.11690308 349.42767471 351.71194529 354.56453229
 355.55271759 361.79111577 366.2260479  369.99120525 375.56812604
 377.39711704 380.41277138 381.76896912 379.9052559  381.95346333
 382.18617125 379.97813796 380.17459752 380.26847531 380.57099133
 376.28100453 365.28994263 360.46395214 355.48355741 349.1799535
 343.46311243 343.66577602 345.47742996 345.51617054 346.54917462
 347.0673789  342.58177016 336.83247819 332.39496612 329.47643896
 322.14441857 319.94754584 318.37740993 316.33468093 313.57382383]",75.0,318.55900254633303,17018.413364477252,18074.833186695992
